epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,4758.04,0.3842,0.31679,0.8079,0.77438,0.84221,0.85517,0.78511,0.43664,0.80085,0.81205,0.00505,0.00505,0.00505
167,4786.57,0.40526,0.34759,0.80828,0.72199,0.8621,0.84515,0.79151,0.40059,0.81103,0.80487,0.00502,0.00502,0.00502
168,4815.01,0.406,0.34324,0.81437,0.75752,0.8572,0.85056,0.79103,0.40667,0.79975,0.80654,0.00499,0.00499,0.00499
169,4843.41,0.43162,0.35545,0.83739,0.75752,0.8572,0.85056,0.79103,0.40667,0.79975,0.80654,0.00496,0.00496,0.00496
170,4872.33,0.41113,0.37343,0.81793,0.77688,0.86934,0.86906,0.80972,0.40141,0.74384,0.80313,0.00493,0.00493,0.00493
171,4901.04,0.42412,0.39471,0.83193,0.7931,0.85227,0.87918,0.82055,0.39035,0.77798,0.80197,0.0049,0.0049,0.0049
172,4929.35,0.42061,0.34024,0.80571,0.77846,0.87134,0.88419,0.83011,0.40626,0.73597,0.80259,0.00487,0.00487,0.00487
173,4957.99,0.39381,0.31508,0.80671,0.77846,0.87134,0.88419,0.83011,0.40626,0.73597,0.80259,0.00484,0.00484,0.00484
174,4987.86,0.39439,0.37319,0.82734,0.77585,0.85593,0.88283,0.82379,0.39156,0.73672,0.80261,0.00481,0.00481,0.00481
175,5016.2,0.41269,0.34894,0.81639,0.73729,0.85115,0.86543,0.81824,0.38844,0.76169,0.80061,0.00478,0.00478,0.00478
176,5044.58,0.36931,0.32429,0.80261,0.77558,0.78225,0.84488,0.78234,0.41673,0.80423,0.80679,0.00475,0.00475,0.00475
177,5072.89,0.3889,0.32452,0.80182,0.77558,0.78225,0.84488,0.78234,0.41673,0.80423,0.80679,0.00472,0.00472,0.00472
178,5102.19,0.40778,0.35826,0.80611,0.79501,0.77676,0.85269,0.80096,0.39055,0.78374,0.8014,0.00469,0.00469,0.00469
179,5130.63,0.41061,0.38325,0.80965,0.78927,0.74379,0.83617,0.78138,0.40844,0.89184,0.80651,0.00466,0.00466,0.00466
180,5161.24,0.37874,0.385,0.81303,0.75915,0.77359,0.84129,0.78154,0.40305,0.879,0.80476,0.00463,0.00463,0.00463
